name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,dollar_price,USD,EUR,GBP,JPY,CNY,KZT
Romania,ROU,RON,11.0,4.82175,14667.089,61021.203,2022-07-01,2.2813293928552913,-0.5570234188630503,-0.5212397230069185,-0.4861877420557802,-0.19355005962565452,-0.3586280050465771,0.042589259481466746
Saudi Arabia,SAU,SAR,17.0,3.755,23507.276,88152.283,2022-07-01,4.527296937416778,-0.12091321603557714,-0.04990049110147332,0.01966014600225674,0.6003994673768309,0.2728023746116288,1.0690178175131573
Singapore,SGP,SGD,5.9,1.3914,72794.906,97798.743,2022-07-01,4.2403334770734515,-0.17663427629641726,-0.11012270460169571,-0.044971179911599934,0.49895788414546516,0.19212558693881476,0.9378727831509204
Sweden,SWE,SEK,57.0,10.19785,60028.543,514838.802,2022-07-01,5.589413454796844,0.08532300093142586,0.1729955096480611,0.258875266670068,0.9758576562706844,0.5714053697593118,1.554415181351251
Thailand,THA,THB,128.0,36.6125,7336.086,231302.799,2022-07-01,3.4960737453055653,-0.3211507290668806,-0.26631321196636015,-0.21259702757492072,0.2358620689655173,-0.01711528394218731,0.5977389975450749
Turkey,TUR,TRY,47.0,17.565,9527.683,84481.339,2022-07-01,2.6757756902931966,-0.4804319047974376,-0.4384611381994391,-0.39734860143933204,-0.05411329348135496,-0.24773353733750836,0.22285497404199361
Taiwan,TWN,TWD,75.0,29.9075,33775.172,946498.54,2022-07-01,2.5077321742037952,-0.5130617137468358,-0.4737267866243514,-0.4351961909655053,-0.11351667641895835,-0.29497722143275096,0.1460574867746982
Uruguay,URY,UYU,255.0,41.91,16756.344,729194.218,2022-07-01,6.0844667143879745,0.18144984745397563,0.2768874931689218,0.37037360352128634,1.150858983536149,0.7105844368885708,1.780659235777346
United States,USA,USD,5.15,1.0,69231.4,69231.4,2022-07-01,5.15,0.0,0.08078010752687859,0.1599084010840084,0.8205250000000002,0.44786885416666666,1.3535990476190478
Venezuela,VEN,VES,10.0,5.6732,1685.657,,2022-07-01,1.7626736233519003,-0.6577332770190485,-0.6300849343337749,-0.6030019526029013,-0.37689487414510325,-0.5044426719781898,-0.19444136676034018
Vietnam,VNM,VND,69000.0,23417.0,3724.543,85420189.717,2022-07-01,2.946577272921382,-0.4278490732191492,-0.3816306598321889,-0.33635733333888984,0.04161506597770859,-0.17160049323141313,0.346613876365766
South Africa,ZAF,ZAR,39.9,17.03625,6950.433,102744.775,2022-07-01,2.342064714946071,-0.5452301524376562,-0.5084937952515879,-0.4725086332527435,-0.17208012326656397,-0.3415529019003596,0.07034588010859189
Kazakhstan,KAZ,KZT,1050.0,479.86,,,2022-07-01,2.188138206977035,-0.5751187947617409,-0.5407968453164445,-0.5071767205814444,-0.22649314383361807,-0.3848277362147293,0.0
